programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,500000000,8,3,0,1,2,0.422000,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,2,0.292000,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,2,2.797000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,2,2.723000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,2,1.845000,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,2,1.350000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,2,0.813000,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,2,0.548000,0.459697693711119,4.207417192425567e-10
secuencial,100000000,1,1,0,1,3,0.067000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,3,0.060000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,3,0.031000,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,3,0.021000,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,3,0.013000,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,3,0.011000,0.333333328333351,4.999982261555402e-09
secuencial,500000000,1,1,0,1,3,0.322000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,3,0.287000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,3,0.149000,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,3,0.078000,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,3,0.074000,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,3,0.044000,0.333333332333436,9.998971650659882e-10
secuencial,1000000000,1,1,0,1,3,0.626000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,3,0.561000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,3,0.291000,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,3,0.176000,0.333333332833382,4.999516911574631e-10
paralelo,1000000000,8,1,0,1,3,0.135000,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,3,0.085000,0.333333332833357,4.999765046420634e-10
secuencial,100000000,1,3,0,1,3,0.290000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,3,0.277000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,3,0.196000,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,3,0.144000,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,3,0.095000,0.459697689924481,4.207379666887334e-09
