programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,500000000,8,3,0,1,2,0.975969,0.459697693290400,8.414604568685036e-10
paralelo,500000000,16,3,0,1,2,0.859831,0.459697693290393,8.414667851397439e-10
secuencial,1000000000,1,3,0,1,2,11.774629,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,1,3,0,1,2,10.995548,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,2,3,0,1,2,6.575181,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,2,3.790766,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,2,1.984001,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,2,1.670970,0.459697693711119,4.207417192425567e-10
secuencial,100000000,1,1,0,1,3,0.216181,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,3,0.144747,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,3,0.073509,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,3,0.036321,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,3,0.026049,0.333333328333329,5.000004243971290e-09
paralelo,100000000,16,1,0,1,3,0.031212,0.333333328333351,4.999982261555402e-09
secuencial,500000000,1,1,0,1,3,0.969225,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,3,0.715239,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,3,0.356878,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,3,0.184031,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,3,0.091550,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,3,0.070410,0.333333332333436,9.998972205771395e-10
secuencial,1000000000,1,1,0,1,3,1.894971,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,3,1.433061,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,3,0.732936,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,3,0.200380,0.333333332833382,4.999516911574631e-10
paralelo,1000000000,8,1,0,1,3,0.111816,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,3,0.088490,0.333333332833357,4.999764491309122e-10
secuencial,100000000,1,3,0,1,3,0.799393,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,3,0.792111,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,3,0.415553,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,3,0.208841,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,3,0.170085,0.459697689924481,4.207379722398485e-09
paralelo,100000000,16,3,0,1,3,0.131679,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,3,3.993332,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,3,4.193764,0.459697693290446,8.414139940349230e-10
